0,10
1,100
2,10a
3,10da
4,10dakika
5,10u
6,11
7,12
8,120
9,12arası
10,12de
11,14
12,15
13,150
14,15dir
15,160
16,18
17,18inde
18,20
19,200
20,2000
21,2010
22,2012
23,2013
24,2014
25,2015
26,20ye
27,21
28,23
29,24
30,25
31,250
32,2500
33,25i
34,29
35,2de
36,2yaşı
37,30
38,300
39,3000
40,35
41,350
42,3bin
43,40
44,400
45,45
46,48
47,4ay
48,4k
49,4ü
50,50
51,500
52,52
53,5in
54,5metre
55,5yüz
56,60
57,65
58,70
59,700
60,70binliraya
61,7de
62,80
63,8de
64,9da
65,aa
66,aaa
67,aaaaa
68,aanca
69,aaraba
70,aaşı
71,ab
72,abartarak
73,abartma
74,abartmamak
75,abartmana
76,abartsaydın
77,abarttığın
78,abartı
79,abartısı
80,abartıyorsun
81,abartıyorsunki
82,abartıyorum
83,abdest
84,abes
85,abi
86,abiler
87,abilerle
88,abim
89,abime
90,abimi
91,abimin
92,abimle
93,abimler
94,abimlere
95,abimlerle
96,abin
97,abinin
98,abinler
99,abinlere
100,abiye
101,abiyle
102,abişlere
103,abla
104,abladayım
105,ablalarımın
106,ablam
107,ablama
108,ablamlar
109,ablamların
110,ablan
111,ablana
112,ablanı
113,ablanın
114,ablası
115,ablaya
116,ablayla
117,abuk
118,abur
119,abıdık
120,acaba
121,acaleci
122,acayip
123,acele
124,aceleci
125,acelecilik
126,aceleciliğim
127,acelecisin
128,acelem
129,acelemiz
130,acelesi
131,acemi
132,acemice
133,acil
134,aciliyetim
135,acı
136,acıdı
137,acıktım
138,acıkır
139,acıma
140,acısını
141,acıttı
142,adalet
143,adam
144,adama
145,adamakıllı
146,adamla
147,adamlar
148,adamları
149,adamlarında
150,adamlarız
151,adamlık
152,adamsa
153,adamı
154,adamım
155,adamın
156,adaya
157,adece
158,adeta
159,adetler
160,adlandırma
161,adlandırmamalı
162,adlandırmıyorum
163,adlandırsak
164,adlandırılan
165,adlandırıyorsun
166,adı
167,adım
168,adıma
169,adımları
170,adımı
171,adımımda
172,adına
173,adını
174,afedersin
175,aferin
176,afyonda
177,afyonların
178,ag
179,agresifim
180,agresifleşiyorsun
181,ah
182,aha
183,ahengini
184,ahh
185,ahhh
186,ahhhh
187,ahmet
188,ahmette
189,aile
190,ailede
191,aileden
192,ailedende
193,aileimize
194,aileler
195,ailelere
196,aileleri
