0,000
1,10
2,100
3,10da
4,10saat
5,11
6,11de
7,12
8,1200
9,1220ye
10,128lere
11,12ye
12,1300
13,130ları
14,14
15,140
16,1400
17,15
18,1500
19,15dakikaysa
20,15ini
21,160
22,1600
23,17
24,18
25,1800den
26,19
27,1o
28,20
29,200
30,2000
31,2013
32,23
33,23ünde
34,24
35,249
36,2de
37,2ye
38,30
39,300
40,3000
41,320
42,40
43,400
44,430
45,45
46,50
47,52
48,54
49,56
50,5de
51,5te
52,60
53,60a
54,65
55,6da
56,70
57,70binlira
58,70e
59,75
60,760
61,80
62,85
63,8de
64,9da
65,9dan
66,aa
67,aaaa
68,aaaatamam
69,aama
70,ababma
71,abartarak
72,abartma
73,abartmaka
74,abartmamak
75,abartmanın
76,abartmıyorum
77,abartsaydım
78,abarttın
79,abartı
80,abartılmıcak
81,abartıyordum
82,abartıyorsun
83,abartıyorum
84,abdulkadir
85,abi
86,abileriyle
87,abim
88,abimi
89,abimin
90,abimle
91,abimler
92,abin
93,abinin
94,abinlerde
95,abiye
96,abiyle
97,abla
98,ablalara
99,ablaların
100,ablam
101,ablamlar
102,ablamların
103,ablamı
104,ablamın
105,ablanlara
106,ablanı
107,ablaya
108,ablayla
109,about
110,absorbe
111,abuk
112,abur
113,acaba
114,acayip
115,acayıp
116,acele
117,aceleci
118,acelem
119,acelesi
120,aceleye
121,acente
122,acil
123,aciliyeti
124,acilliğinden
125,acı
126,acıdı
127,acıktıysam
128,acıktığında
129,acıman
130,acımış
131,acır
132,acısada
133,acıtasyon
134,acıtıyorum
135,acıyor
136,acıyoreum
137,adam
138,adamda
139,adamla
140,adamları
141,adammış
142,adamsın
143,adamı
144,adamın
145,adapte
146,adağte
147,adedim
148,adlandırmıyorum
149,adı
150,adım
151,adımdı
152,adımlar
153,adımını
154,adına
155,afallıyorsun
156,afedersin
157,aferin
158,afiyet
159,afra
160,agresif
161,agresiflik
162,agresifsin
163,ah
164,aha
165,ahhah
166,ahmet
167,aielni
168,aile
169,ailecek
170,ailecisin
171,ailede
172,aileden
173,aileilişkiler
174,aileler
175,ailelerdeki
176,ailelerden
177,ailelere
178,ailelerimiz
179,ailelerimizden
180,ailelerle
181,ailelermizde
182,ailem
183,ailemde
184,ailemden
185,aileme
186,ailemi
187,ailemin
188,ailemiz
189,ailemizde
190,ailemizin
191,ailemle
192,ailen
193,ailende
194,ailenden
195,ailendir
196,ailene
197,aileni
198,ailenin
199,ailenle
200,ailenlere
201,ailesinin
202,ailevi
203,aileye
204,aileyle
205,ait
206,aittir
207,ajanda
208,ajandana
209,ajandanı
210,akabinde
211,akademik
212,akademisyen
213,akademisyenlik
